x,y,psi,s,velocity,acceleration,curvature
4.37089,0.200537,-0.0370575,1.66978,13.826,-6.18208,0.0485029
4.38086,0.200165,-0.0375416,1.67976,13.8216,-6.1714,0.0485296
4.39083,0.199788,-0.038026,1.68974,13.8171,-6.16067,0.0485562
4.4008,0.199407,-0.0385107,1.69972,13.8127,-6.14989,0.0485829
4.41077,0.19902,-0.0389956,1.7097,13.8082,-6.13904,0.0486096
4.42074,0.198629,-0.0394808,1.71968,13.8038,-6.12812,0.0486364
4.43071,0.198232,-0.0399662,1.72965,13.7994,-6.11713,0.0486631
4.44068,0.197831,-0.040452,1.73963,13.7949,-6.10609,0.0486899
4.45065,0.197425,-0.040938,1.74961,13.7905,-6.09499,0.0487166
4.46062,0.197014,-0.0414242,1.75959,13.7861,-6.08383,0.0487434
4.47059,0.196599,-0.0419107,1.76957,13.7817,-6.07261,0.0487702
4.48056,0.196178,-0.0423975,1.77955,13.7773,-6.06133,0.048797
4.49053,0.195753,-0.0428846,1.78953,13.7729,-6.04998,0.0488238
4.5005,0.195323,-0.0433719,1.7995,13.7685,-6.03855,0.0488507
4.51047,0.194887,-0.0438595,1.80948,13.7642,-6.02706,0.0488775
4.52044,0.194448,-0.0443474,1.81946,13.7598,-6.01549,0.0489044
4.53041,0.194003,-0.0448355,1.82944,13.7554,-6.00385,0.0489313
4.54038,0.193553,-0.0453239,1.83942,13.7511,-5.99212,0.0489582
4.55035,0.193098,-0.0458126,1.8494,13.7467,-5.98031,0.0489851
4.56031,0.192639,-0.0463015,1.85938,13.7424,-5.96841,0.049012
4.57028,0.192175,-0.0467907,1.86936,13.7381,-5.95642,0.0490389
4.58025,0.191706,-0.0472802,1.87933,13.7337,-5.94435,0.0490659
4.59022,0.191232,-0.04777,1.88931,13.7294,-5.93219,0.0490929
4.60019,0.190753,-0.04826,1.89929,13.7251,-5.91994,0.0491198
4.61015,0.190269,-0.0487503,1.90927,13.7208,-5.9076,0.0491468
4.62012,0.18978,-0.0492408,1.91925,13.7165,-5.89516,0.0491738
4.63009,0.189286,-0.0497317,1.92923,13.7122,-5.88262,0.0492008
4.64005,0.188788,-0.0502228,1.93921,13.7079,-5.86998,0.0492279
4.65002,0.188285,-0.0507141,1.94919,13.7037,-5.85724,0.0492549
4.65998,0.187776,-0.0512058,1.95916,13.6994,-5.84439,0.049282
4.66995,0.187263,-0.0516977,1.96914,13.6951,-5.83143,0.0493091
4.67991,0.186745,-0.0521898,1.97912,13.6909,-5.81835,0.0493361
4.68988,0.186222,-0.0526823,1.9891,13.6866,-5.80518,0.0493632
4.69984,0.185694,-0.053175,1.99908,13.6824,-5.79192,0.0493903
4.70981,0.185161,-0.053668,2.00906,13.6782,-5.77856,0.0494175
4.71977,0.184623,-0.0541613,2.01904,13.674,-5.79996,0.0494446
4.72968,0.184084,-0.0546525,2.02896,13.6698,-5.78631,0.0495986
4.73958,0.18354,-0.0551452,2.03887,13.6656,-5.77255,0.0497526
4.74948,0.182991,-0.0556394,2.04879,13.6614,-5.75868,0.0499067
4.75939,0.182437,-0.0561352,2.05871,13.6572,-5.7447,0.0500607
4.76929,0.181878,-0.0566325,2.06863,13.653,-5.73061,0.0502148
4.77919,0.181314,-0.0571314,2.07855,13.6489,-5.71641,0.050369
4.7891,0.180745,-0.0576317,2.08847,13.6447,-5.70208,0.0505231
4.799,0.180171,-0.0581336,2.09839,13.6406,-5.68764,0.0506773
4.8089,0.179592,-0.0586371,2.10831,13.6364,-5.67307,0.0508316
4.8188,0.179008,-0.059142,2.11823,13.6323,-5.65839,0.0509858
4.8287,0.17842,-0.0596485,2.12814,13.6282,-5.64358,0.0511401
4.83861,0.177826,-0.0601565,2.13806,13.6241,-5.62866,0.0512944
